"","Detail","Price","Mileage"
"329","2019 Porsche Cayenne Base","$60,797","23,228 mi."
"330","2018 Porsche Macan Sport Edition","$44,999","23,494 mi."
"331","2017 Porsche Cayenne Platinum Edition","$35,900","68,792 mi."
"332","2013 Porsche 911 Carrera S","$74,900","44,850 mi."
"333","2018 Porsche Panamera E-Hybrid 4","$84,250","15,600 mi."
"334","2020 Porsche Cayenne E-Hybrid Coupe Base","$87,000","22,688 mi."
"335","2006 Porsche Cayenne S","$6,999","175,075 mi."
"336","2018 Porsche Panamera Turbo","$103,992","15,671 mi."
"337","2015 Porsche Panamera S","$42,500","50,993 mi."
"338","2016 Porsche 911 Carrera GTS","$203,192","2,827 mi."
"339","2019 Porsche Cayenne S","$71,991","28,010 mi."
"340","2016 Porsche Cayenne GTS","$34,000","109,000 mi."
"341","2019 Porsche Panamera E-Hybrid 4","$85,900","22,354 mi."
"342","2017 Porsche 911 Targa 4","$117,500","21,371 mi."
"343","2017 Porsche Panamera 4","$52,745","74,906 mi."
"344","2022 Porsche 911 Turbo S","$299,800","1,191 mi."
"345","2016 Porsche Cayenne TURBO/4.8L TWIN-TURBO ENGINE/AWD/SUNROOF/NAVIGATIO","$55,895","66,537 mi."
"346","2008 Porsche Boxster S","$34,777","32,928 mi."
"347","2014 Porsche Panamera 4","$33,950","73,249 mi."
"348","2014 Porsche Panamera 4S","$36,950","70,684 mi."
"349","2020 Porsche Panamera 4S Executive","$98,994","21,260 mi."
"350","2021 Porsche Macan Base","$55,995","8,945 mi."
"351","2022 Porsche Panamera 4","$99,992","7,548 mi."
"352","2019 Porsche Macan Base","$53,494","18,829 mi."
"353","2016 Porsche Cayenne Base","$26,985","94,187 mi."
"354","1999 Porsche 911 Carrera","$27,490","44,077 mi."
"355","2010 Porsche Panamera Turbo","$36,500","29,827 mi."
"356","2016 Porsche Cayenne S","$38,579","58,334 mi."
"357","2018 Porsche Panamera 4S","$77,959","35,776 mi."
"358","2021 Porsche Panamera Turbo S","$167,999","5,974 mi."
"359","2014 Porsche Panamera 4S","$37,950","74,612 mi."
"360","2013 Porsche Cayenne Turbo","$43,900","57,384 mi."
"361","2018 Porsche Panamera E-Hybrid 4","$72,144","39,191 mi."
"362","1984 Porsche 944 2dr Coupe 5-Spd","$27,000","69,160 mi."
"363","2008 Porsche Cayman S","$36,000","45,151 mi."
"364","2020 Porsche Macan Base","$46,991","52,376 mi."
"365","2018 Porsche Panamera E-Hybrid Turbo S","$128,995","21,612 mi."
"366","2018 Porsche Panamera 4","$62,800","48,145 mi."
"367","2020 Porsche Panamera GTS","$119,377","29,628 mi."
"368","2020 Porsche Panamera 4 Executive","$94,995","15,275 mi."
"369","2020 Porsche Panamera Turbo Executive","$139,995","21,726 mi."
"370","1974 Porsche 914 ","$27,000","33,092 mi."
"371","2016 Porsche 911 Turbo","$107,849","63,142 mi."
"372","2018 Porsche Panamera Sport Turismo 4S","$76,995","60,834 mi."
"373","2002 Porsche Boxster Base (M5)","$15,343","57,640 mi."
"374","2016 Porsche Cayenne Base","$36,333","48,087 mi."
"375","2013 Porsche Panamera 4S","$34,977","88,253 mi."
"376","2003 Porsche Boxster ","$19,500","34,210 mi."
"377","2018 Porsche Panamera Sport Turismo 4S","$84,987","31,130 mi."
"378","2019 Porsche 911 Targa 4","$159,995","20,249 mi."
