"","Detail","Price","Mileage"
"238","2021 Audi S4 3.0T Premium Plus","$50,998","19,559 mi."
"239","2021 Audi SQ5 3.0T Premium","$53,979","15,690 mi."
"240","2015 Audi A8 3.0T","$26,757","79,640 mi."
"241","2019 Audi A8 L 55","$50,977","32,528 mi."
"242","2020 Audi SQ5 3.0T Premium Plus","$47,483","23,834 mi."
"243","2019 Audi A8 L 55","$58,777","7,500 mi."
"244","2022 Audi RS 5 2.9T","$107,995","281 mi."
"245","2016 Audi A8 L 3.0T","$26,995","91,942 mi."
"246","2018 Audi S3 2.0T Premium Plus","$37,995","30,764 mi."
"247","2013 Audi A8 L 4.0T","$25,950","78,672 mi."
"248","2013 Audi A8 3.0T quattro","$18,950","121,702 mi."
"249","2015 Audi A8 3.0T","$32,950","63,057 mi."
"250","2019 Audi S4 Prestige","$49,850","19,908 mi."
"251","2021 Audi SQ5 3.0T Premium","$60,997","15,000 mi."
"252","2020 Audi S3 2.0T S line quattro Premium","$44,662","10,635 mi."
"253","2019 Audi SQ5 3.0T Premium","$48,884","25,751 mi."
"254","2019 Audi SQ5 3.0T Premium","$44,771","29,911 mi."
"255","2018 Audi SQ5 3.0T Premium Plus","$41,995","56,137 mi."
"256","2020 Audi A8 L 60","$69,993","22,078 mi."
"257","2019 Audi A6 55 Premium","$51,994","9,067 mi."
"258","2019 Audi A6 3.0T Premium quattro","$46,888","47,616 mi."
"259","2011 Audi A8 4.2 quattro","$18,985","76,201 mi."
"260","2018 Audi SQ5 Premium Plus","$32,000","80,923 mi."
"261","2011 Audi A8 L 4.2 quattro","$17,279","105,727 mi."
"262","2020 Audi SQ7 4.0T Premium Plus","$83,642","8,818 mi."
"263","2021 Audi Q8 55 Premium","$65,477","29,047 mi."
"264","2016 Audi RS 7 4.0T PRESTIGE","$54,889","62,692 mi."
"265","2022 Audi SQ5 3.0T Premium","$60,833","2,680 mi."
"266","2022 Audi SQ5 3.0T Premium","$63,844","2,776 mi."
"267","2014 Audi S5 3.0T Premium Plus","$28,955","54,878 mi."
"268","2020 Audi A8 L 55","$62,950","27,869 mi."
"269","2011 Audi A5 2.0T Premium Plus quattro","$12,900","89,400 mi."
"270","2019 Audi S4 3.0T Premium Plus","$42,494","34,799 mi."
"271","2019 Audi A8 L 55","$55,994","22,510 mi."
"272","2021 Audi Q8 55 Premium","$75,995","16,433 mi."
"273","2018 Audi SQ5 3.0T Prestige","$41,224","33,695 mi."
"274","2019 Audi A8 L 55","$53,683","36,949 mi."
"275","2021 Audi Q7 55 Premium Plus","$59,990","16,461 mi."
"276","2020 Audi SQ5 3.0T Premium","$52,993","38,338 mi."
"277","2021 Audi SQ5 3.0T Premium","$56,956","10,374 mi."
"278","2012 Audi A8 L 6.3 quattro","$27,499","97,331 mi."
"279","2021 Audi Q8 55 Premium","$64,995","37,352 mi."
